task,#examples,#sketched,time(s)
tson,30,5,1.39
tson,40,5,1.82
tson,50,5,1.65
tson,60,5,1.89
tson,70,5,2.22
tson,80,5,2.56
tson,90,5,2.9
tson,100,5,3.13
ours,2,5,0.08
ours,4,5,0.09
ours,6,5,0.09
ours,8,5,0.1
ours,10,5,0.12
ours,12,5,0.13
ours,14,5,0.16
ours,16,5,0.18
ours,18,5,0.17
ours,20,5,0.24
ours,20,5,0.3
ours,30,5,0.32
ours,40,5,0.33
ours,50,5,0.38
ours,60,5,0.56
ours,70,5,0.65
ours,80,5,0.86
ours,90,5,0.97
ours,100,5,0.89
potassco,2,5,2.18
potassco,4,5,1.9
potassco,6,5,1.83
potassco,8,5,1.88
potassco,10,5,1.95
potassco,12,5,2.26
potassco,14,5,2.14
potassco,16,5,1.79
potassco,18,5,4.12
potassco,20,5,4.29
potassco,20,5,4.22
potassco,30,5,4.72
potassco,40,5,5.1
potassco,50,5,5.55
potassco,60,5,5.74
potassco,70,5,6.26
potassco,80,5,7.3
potassco,90,5,7.52
potassco,100,5,10.38
hakank,2,5,0.21
hakank,4,5,0.18
hakank,6,5,0.34
hakank,8,5,0.32
hakank,10,5,0.28
hakank,12,5,0.26
hakank,14,5,0.31
hakank,16,5,0.33
hakank,18,5,0.32
hakank,20,5,0.35
hakank,20,5,0.37
hakank,30,5,0.6
hakank,40,5,0.82
hakank,50,5,0.89
hakank,60,5,0.91
hakank,70,5,1.02
hakank,80,5,1.16
hakank,90,5,1.28
hakank,100,5,1.5
tson,2,5,2.06
tson,4,5,1.67
tson,6,5,1.62
tson,8,5,1.67
tson,10,5,1.35
tson,12,5,1.48
tson,14,5,1.52
tson,16,5,1.84
tson,18,5,1.77
tson,20,5,1.88
tson,20,5,1.89
tson,30,5,2.41
tson,40,5,2.71
tson,50,5,3.33
tson,60,5,3.63
tson,70,5,4.31
tson,80,5,4.8
tson,90,5,5.05
tson,100,5,5.71
ours,2,5,0.14
ours,4,5,0.17
ours,6,5,0.18
ours,8,5,0.2
ours,10,5,0.23
ours,12,5,0.26
ours,14,5,0.28
ours,16,5,0.32
ours,18,5,0.35
ours,20,5,0.37
ours,20,5,0.37
ours,30,5,0.51
ours,40,5,0.65
ours,50,5,0.8
ours,60,5,0.93
ours,70,5,1.09
ours,80,5,1.23
ours,90,5,1.38
ours,100,5,1.51
potassco,2,5,0.1
potassco,4,5,0.11
potassco,6,5,0.1
potassco,8,5,0.1
potassco,10,5,0.1
potassco,12,5,0.1
potassco,14,5,0.11
potassco,16,5,0.11
potassco,18,5,0.12
potassco,20,5,0.13
potassco,20,5,0.15
potassco,30,5,0.18
potassco,40,5,0.16
potassco,50,5,0.19
potassco,60,5,0.21
potassco,70,5,0.23
potassco,80,5,0.25
potassco,90,5,0.28
potassco,100,5,0.3
hakank,2,5,0.1
hakank,4,5,0.1
hakank,6,5,0.08
hakank,8,5,0.08
hakank,10,5,0.08
hakank,12,5,0.08
hakank,14,5,0.08
hakank,16,5,0.08
hakank,18,5,0.09
hakank,20,5,0.09
hakank,20,5,0.09
hakank,30,5,0.1
hakank,40,5,0.11
hakank,50,5,0.12
hakank,60,5,0.13
hakank,70,5,0.14
hakank,80,5,0.15
hakank,90,5,0.16
hakank,100,5,0.15
tson,2,5,0.29
tson,4,5,0.29
tson,6,5,0.25
tson,8,5,0.22
tson,10,5,0.22
tson,12,5,0.22
tson,14,5,0.24
tson,16,5,0.25
tson,18,5,0.27
tson,20,5,0.44
tson,20,5,0.27
tson,30,5,0.34
tson,40,5,0.39
tson,50,5,0.45
tson,60,5,0.51
tson,70,5,0.59
tson,80,5,0.65
tson,90,5,0.89
tson,100,5,0.79
ours,2,5,0.1
ours,4,5,0.12
ours,6,5,0.14
ours,8,5,0.16
ours,10,5,0.18
ours,12,5,0.2
ours,14,5,0.23
ours,16,5,0.25
ours,18,5,0.28
ours,20,5,0.3
ours,20,5,0.3
ours,30,5,0.42
ours,40,5,0.53
ours,50,5,0.64
ours,60,5,0.76
ours,70,5,0.9
ours,80,5,1.01
ours,90,5,1.14
ours,100,5,1.26
potassco,2,5,0.07
potassco,4,5,0.07
potassco,6,5,0.07
potassco,8,5,0.08
potassco,10,5,0.08
potassco,12,5,0.08
potassco,14,5,0.09
potassco,16,5,0.1
potassco,18,5,0.1
potassco,20,5,0.1
potassco,20,5,0.1
potassco,30,5,0.12
potassco,40,5,0.14
potassco,50,5,0.16
potassco,60,5,0.18
potassco,70,5,0.2
potassco,80,5,0.22
potassco,90,5,0.23
potassco,100,5,0.26
hakank,2,5,0.07
hakank,4,5,0.08
hakank,6,5,0.08
hakank,8,5,0.09
hakank,10,5,0.09
hakank,12,5,0.1
hakank,14,5,0.1
hakank,16,5,0.11
hakank,18,5,0.12
hakank,20,5,0.13
hakank,20,5,0.12
hakank,30,5,0.15
hakank,40,5,0.19
hakank,50,5,0.22
hakank,60,5,0.25
hakank,70,5,0.28
hakank,80,5,0.31
hakank,90,5,0.35
hakank,100,5,0.38
tson,2,5,0.14
tson,4,5,0.14
tson,6,5,0.14
tson,8,5,0.14
tson,10,5,0.14
tson,12,5,0.14
tson,14,5,0.15
tson,16,5,0.48
tson,18,5,0.58
tson,20,5,0.63
tson,20,5,0.64
tson,30,5,0.84
tson,40,5,1.12
tson,50,5,1.38
tson,60,5,1.66
tson,70,5,1.9
tson,80,5,2.22
tson,90,5,2.51
tson,100,5,2.72
ours,2,5,0.13
ours,4,5,0.13
ours,6,5,0.15
ours,8,5,0.15
ours,10,5,0.17
ours,12,5,0.18
ours,14,5,0.18
ours,16,5,0.18
ours,18,5,0.19
ours,20,5,0.26
ours,20,5,0.19
ours,30,5,0.25
ours,40,5,0.29
ours,50,5,0.33
ours,60,5,0.4
ours,70,5,0.52
ours,80,5,0.52
ours,90,5,0.59
ours,100,5,0.65
potassco,2,5,3.9
potassco,4,5,4.06
potassco,6,5,3.77
potassco,8,5,3.72
potassco,10,5,3.78
potassco,12,5,1.91
potassco,14,5,2.18
potassco,16,5,2.07
potassco,18,5,2.01
potassco,20,5,2.4
potassco,20,5,2.22
potassco,30,5,2.69
potassco,40,5,2.95
potassco,50,5,4.0
potassco,60,5,4.02
potassco,70,5,4.29
potassco,80,5,4.04
potassco,90,5,4.94
potassco,100,5,5.05
hakank,2,5,0.1
hakank,4,5,0.1
hakank,6,5,0.1
hakank,8,5,0.11
hakank,10,5,0.11
hakank,12,5,0.1
hakank,14,5,0.3
hakank,16,5,0.13
hakank,18,5,0.13
hakank,20,5,0.14
hakank,20,5,0.15
hakank,30,5,0.2
hakank,40,5,0.22
hakank,50,5,0.26
hakank,60,5,0.29
hakank,70,5,0.32
hakank,80,5,0.35
hakank,90,5,0.41
hakank,100,5,0.41
tson,2,5,0.17
tson,4,5,0.16
tson,6,5,0.18
tson,8,5,0.18
tson,10,5,0.19
tson,12,5,0.16
tson,14,5,0.17
tson,16,5,0.18
tson,18,5,0.19
tson,20,5,0.19
tson,20,5,0.2
tson,30,5,0.24
tson,40,5,0.29
tson,50,5,0.35
tson,60,5,0.42
tson,70,5,0.4
tson,80,5,0.43
tson,90,5,0.48
tson,100,5,0.57
ours,2,5,0.1
ours,4,5,0.1
ours,6,5,0.11
ours,8,5,0.13
ours,10,5,0.14
ours,12,5,0.15
ours,14,5,0.16
ours,16,5,0.19
ours,18,5,0.21
ours,20,5,0.2
ours,20,5,0.22
ours,30,5,0.28
ours,40,5,0.36
ours,50,5,0.39
ours,60,5,0.48
ours,70,5,0.49
ours,80,5,0.6
ours,90,5,0.7
ours,100,5,0.69
potassco,2,5,0.25
potassco,4,5,0.14
potassco,6,5,0.14
potassco,8,5,0.15
potassco,10,5,0.15
potassco,12,5,0.15
potassco,14,5,0.17
potassco,16,5,0.17
potassco,18,5,0.18
potassco,20,5,0.19
potassco,20,5,0.2
potassco,30,5,0.22
potassco,40,5,0.27
potassco,50,5,0.29
potassco,60,5,0.38
potassco,70,5,0.39
potassco,80,5,0.4
potassco,90,5,0.47
potassco,100,5,0.5
hakank,2,5,0.09
hakank,4,5,0.1
hakank,6,5,0.11
hakank,8,5,0.12
hakank,10,5,0.13
hakank,12,5,0.16
hakank,14,5,0.16
hakank,16,5,0.2
hakank,18,5,0.2
hakank,20,5,0.23
hakank,20,5,0.21
hakank,30,5,0.28
hakank,40,5,0.35
hakank,50,5,0.43
hakank,60,5,0.48
hakank,70,5,0.55
hakank,80,5,0.63
hakank,90,5,0.7
hakank,100,5,0.79
tson,2,5,1.45
tson,4,5,1.77
tson,6,5,1.61
tson,8,5,1.61
tson,10,5,1.61
tson,12,5,1.94
tson,14,5,1.89
tson,16,5,4.52
tson,18,5,4.61
tson,20,5,4.95
tson,20,5,4.9
tson,30,5,5.0
tson,40,5,6.2
tson,50,5,5.88
tson,60,5,6.88
tson,70,5,7.13
tson,80,5,7.71
tson,90,5,8.59
tson,100,5,8.73
ours,2,5,0.07
ours,4,5,0.07
ours,6,5,0.08
ours,8,5,0.09
ours,10,5,0.09
ours,12,5,0.1
ours,14,5,0.11
ours,16,5,0.13
ours,18,5,0.13
ours,20,5,0.14
ours,20,5,0.14
ours,30,5,0.18
ours,40,5,0.22
ours,50,5,0.26
ours,60,5,0.31
ours,70,5,0.35
ours,80,5,0.39
ours,90,5,0.44
ours,100,5,0.48
potassco,2,5,0.57
potassco,4,5,0.73
potassco,6,5,0.9
potassco,8,5,1.05
potassco,10,5,1.17
potassco,12,5,1.32
potassco,14,5,1.5
potassco,16,5,1.68
potassco,18,5,1.97
potassco,20,5,1.96
potassco,20,5,1.96
potassco,30,5,2.81
potassco,40,5,3.61
potassco,50,5,4.59
potassco,60,5,5.24
potassco,70,5,6.21
potassco,80,5,7.31
potassco,90,5,8.53
potassco,100,5,8.79
hakank,2,5,0.08
hakank,4,5,0.08
hakank,6,5,0.09
hakank,8,5,0.1
hakank,10,5,0.1
hakank,12,5,0.11
hakank,14,5,0.12
hakank,16,5,0.17
hakank,18,5,0.19
hakank,20,5,0.21
hakank,20,5,0.21
hakank,30,5,0.3
hakank,40,5,0.37
hakank,50,5,0.42
hakank,60,5,0.49
hakank,70,5,0.55
hakank,80,5,0.74
hakank,90,5,0.9
hakank,100,5,0.78
tson,2,5,0.14
tson,4,5,0.16
tson,6,5,0.14
tson,8,5,0.12
tson,10,5,0.12
tson,12,5,0.13
tson,14,5,0.14
tson,16,5,0.13
tson,18,5,0.15
tson,20,5,0.16
tson,20,5,0.15
tson,30,5,0.35
tson,40,5,0.21
tson,50,5,0.26
tson,60,5,0.25
tson,70,5,0.28
tson,80,5,0.31
tson,90,5,0.32
tson,100,5,0.35
ours,2,5,0.1
ours,4,5,0.11
ours,6,5,0.1
ours,8,5,0.11
ours,10,5,0.11
ours,12,5,0.12
ours,14,5,0.13
ours,16,5,0.14
ours,18,5,0.15
ours,20,5,0.15
ours,20,5,0.15
ours,30,5,0.19
ours,40,5,0.22
ours,50,5,0.26
ours,60,5,0.29
ours,70,5,0.36
ours,80,5,0.41
ours,90,5,0.44
ours,100,5,0.48
potassco,2,5,0.36
potassco,4,5,0.35
potassco,6,5,0.51
potassco,8,5,0.38
potassco,10,5,0.42
potassco,12,5,0.46
potassco,14,5,0.49
potassco,16,5,0.53
potassco,18,5,0.57
potassco,20,5,0.61
potassco,20,5,0.61
potassco,30,5,0.81
potassco,40,5,1.19
potassco,50,5,1.14
potassco,60,5,1.33
potassco,70,5,1.67
potassco,80,5,1.7
potassco,90,5,1.86
potassco,100,5,2.24
hakank,2,5,0.26
hakank,4,5,0.41
hakank,6,5,0.54
hakank,8,5,0.73
hakank,10,5,0.9
hakank,12,5,1.06
hakank,14,5,1.23
hakank,16,5,1.36
hakank,18,5,1.52
hakank,20,5,1.69
hakank,20,5,1.68
hakank,30,5,2.43
hakank,40,5,3.28
hakank,50,5,4.08
hakank,60,5,4.82
hakank,70,5,5.6
hakank,80,5,6.54
hakank,90,5,7.4
hakank,100,5,8.17
tson,2,5,0.3
tson,4,5,0.33
tson,6,5,0.24
tson,8,5,0.19
tson,10,5,0.21
tson,12,5,0.22
tson,14,5,0.24
tson,16,5,0.26
tson,18,5,0.27
tson,20,5,0.29
tson,20,5,0.29
tson,30,5,0.38
tson,40,5,0.46
tson,50,5,0.71
tson,60,5,0.62
tson,70,5,0.74
tson,80,5,0.83
tson,90,5,0.91
tson,100,5,1.0
ours,2,5,0.07
ours,4,5,0.08
ours,6,5,0.08
ours,8,5,0.09
ours,10,5,0.09
ours,12,5,0.1
ours,14,5,0.11
ours,16,5,0.12
ours,18,5,0.13
ours,20,5,0.14
ours,20,5,0.14
ours,30,5,0.17
ours,40,5,0.21
ours,50,5,0.24
ours,60,5,0.28
ours,70,5,0.31
ours,80,5,0.35
ours,90,5,0.39
ours,100,5,0.42
potassco,2,5,0.15
potassco,4,5,0.12
potassco,6,5,0.13
potassco,8,5,0.15
potassco,10,5,0.17
potassco,12,5,0.18
potassco,14,5,0.2
potassco,16,5,0.22
potassco,18,5,0.24
potassco,20,5,0.25
potassco,20,5,0.25
potassco,30,5,0.34
potassco,40,5,0.43
potassco,50,5,0.52
potassco,60,5,0.61
potassco,70,5,0.69
potassco,80,5,0.79
potassco,90,5,0.87
potassco,100,5,0.97
hakank,2,5,0.12
hakank,4,5,0.13
hakank,6,5,0.16
hakank,8,5,0.19
hakank,10,5,0.21
hakank,12,5,0.24
hakank,14,5,0.26
hakank,16,5,0.28
hakank,18,5,0.31
hakank,20,5,0.33
hakank,20,5,0.34
hakank,30,5,0.47
hakank,40,5,0.59
hakank,50,5,0.73
hakank,60,5,0.85
hakank,70,5,0.99
hakank,80,5,1.12
hakank,90,5,1.27
hakank,100,5,1.41
tson,2,5,0.07
tson,4,5,0.07
tson,6,5,0.07
tson,8,5,0.07
tson,10,5,0.07
tson,12,5,0.08
tson,14,5,0.08
tson,16,5,0.08
tson,18,5,0.08
tson,20,5,0.09
tson,20,5,0.09
tson,30,5,0.1
tson,40,5,0.11
tson,50,5,0.12
tson,60,5,0.13
tson,70,5,0.15
tson,80,5,0.16
tson,90,5,0.18
tson,100,5,0.19
ours,2,5,0.08
ours,4,5,0.1
ours,6,5,0.11
ours,8,5,0.13
ours,10,5,0.15
ours,12,5,0.17
ours,14,5,0.19
ours,16,5,0.21
ours,18,5,0.23
ours,20,5,0.25
ours,20,5,0.25
ours,30,5,0.34
ours,40,5,0.44
ours,50,5,0.53
ours,60,5,0.63
ours,70,5,0.71
ours,80,5,0.81
ours,90,5,0.9
ours,100,5,1.01
potassco,2,5,0.09
potassco,4,5,0.1
potassco,6,5,0.11
potassco,8,5,0.13
potassco,10,5,0.15
potassco,12,5,0.16
potassco,14,5,0.17
potassco,16,5,0.2
potassco,18,5,0.22
potassco,20,5,0.23
potassco,20,5,0.23
potassco,30,5,0.32
potassco,40,5,0.4
potassco,50,5,0.49
potassco,60,5,0.56
potassco,70,5,0.65
potassco,80,5,0.74
potassco,90,5,0.84
potassco,100,5,0.92
hakank,2,5,0.08
hakank,4,5,0.09
hakank,6,5,0.1
hakank,8,5,0.1
hakank,10,5,0.11
hakank,12,5,0.12
hakank,14,5,0.13
hakank,16,5,0.16
hakank,18,5,0.17
hakank,20,5,0.18
hakank,20,5,0.18
hakank,30,5,0.24
hakank,40,5,0.3
hakank,50,5,0.35
hakank,60,5,0.41
hakank,70,5,0.46
hakank,80,5,0.52
hakank,90,5,0.59
hakank,100,5,0.64
tson,2,5,0.2
tson,4,5,0.1
tson,6,5,0.11
tson,8,5,0.11
tson,10,5,0.12
tson,12,5,0.13
tson,14,5,0.13
tson,16,5,0.12
tson,18,5,0.12
tson,20,5,0.13
tson,20,5,0.13
tson,30,5,0.15
tson,40,5,0.18
tson,50,5,0.2
tson,60,5,0.23
tson,70,5,0.26
tson,80,5,0.28
tson,90,5,0.31
tson,100,5,0.33
ours,2,5,0.09
ours,4,5,0.11
ours,6,5,0.14
ours,8,5,0.23
ours,10,5,0.23
ours,12,5,0.23
ours,14,5,0.27
ours,16,5,0.38
ours,18,5,0.37
ours,20,5,0.4
ours,20,5,0.32
ours,30,5,0.43
ours,40,5,0.56
ours,50,5,0.8
ours,60,5,0.91
ours,70,5,0.92
ours,80,5,1.09
ours,90,5,1.35
ours,100,5,1.41
potassco,2,5,0.18
potassco,4,5,0.2
potassco,6,5,0.19
potassco,8,5,0.2
potassco,10,5,0.24
potassco,12,5,0.24
potassco,14,5,0.25
potassco,16,5,0.27
potassco,18,5,0.31
potassco,20,5,0.31
potassco,20,5,0.32
potassco,30,5,0.41
potassco,40,5,0.47
potassco,50,5,0.67
potassco,60,5,0.88
potassco,70,5,0.7
potassco,80,5,0.87
potassco,90,5,0.95
potassco,100,5,1.05
hakank,2,5,0.1
hakank,4,5,0.09
hakank,6,5,0.09
hakank,8,5,0.09
hakank,10,5,0.1
hakank,12,5,0.1
hakank,14,5,0.11
hakank,16,5,0.16
hakank,18,5,0.21
hakank,20,5,0.21
hakank,20,5,0.21
hakank,30,5,0.29
hakank,40,5,0.34
hakank,50,5,0.36
hakank,60,5,0.43
hakank,70,5,0.49
hakank,80,5,0.57
hakank,90,5,0.64
hakank,100,5,0.66
tson,2,5,0.16
tson,4,5,0.16
tson,6,5,0.12
tson,8,5,0.12
tson,10,5,0.13
tson,12,5,0.13
tson,14,5,0.13
tson,16,5,0.14
tson,18,5,0.16
tson,20,5,0.15
tson,20,5,0.15
tson,30,5,0.19
tson,40,5,0.22
tson,50,5,0.46
tson,60,5,0.31
tson,70,5,0.3
tson,80,5,0.34
tson,90,5,0.37
tson,100,5,0.4
ours,2,5,0.15
ours,4,5,0.16
ours,6,5,0.21
ours,8,5,0.22
ours,10,5,0.24
ours,12,5,0.3
ours,14,5,0.32
ours,16,5,0.34
ours,18,5,0.41
ours,20,5,0.42
ours,20,5,0.41
ours,30,5,0.57
ours,40,5,0.73
ours,50,5,0.92
ours,60,5,1.04
ours,70,5,1.31
ours,80,5,1.37
ours,90,5,1.48
ours,100,5,1.66
potassco,2,5,0.43
potassco,4,5,0.13
potassco,6,5,0.14
potassco,8,5,0.14
potassco,10,5,0.14
potassco,12,5,0.15
potassco,14,5,0.16
potassco,16,5,0.16
potassco,18,5,0.18
potassco,20,5,0.18
potassco,20,5,0.19
potassco,30,5,0.24
potassco,40,5,0.3
potassco,50,5,0.33
potassco,60,5,0.34
potassco,70,5,0.4
potassco,80,5,0.45
potassco,90,5,0.47
potassco,100,5,0.5
hakank,2,5,0.11
hakank,4,5,0.13
hakank,6,5,0.11
hakank,8,5,0.1
hakank,10,5,0.11
hakank,12,5,0.11
hakank,14,5,0.12
hakank,16,5,0.13
hakank,18,5,0.14
hakank,20,5,0.15
hakank,20,5,0.14
hakank,30,5,0.16
hakank,40,5,0.19
hakank,50,5,0.22
hakank,60,5,0.27
hakank,70,5,0.3
hakank,80,5,0.34
hakank,90,5,0.37
hakank,100,5,0.41
tson,2,5,8.43
tson,4,5,1.9
tson,6,5,1.2
tson,8,5,1.21
tson,10,5,1.14
tson,12,5,1.21
tson,14,5,1.41
tson,16,5,1.29
tson,18,5,1.25
tson,20,5,1.46
tson,20,5,1.37
tson,30,5,1.63
tson,40,5,1.57
tson,50,5,2.0
tson,60,5,2.26
tson,70,5,2.26
tson,80,5,2.65
tson,90,5,2.87
tson,100,5,2.92
ours,2,5,0.08
ours,4,5,0.09
ours,6,5,0.09
ours,8,5,0.12
ours,10,5,0.12
ours,12,5,0.14
ours,14,5,0.13
ours,16,5,0.43
ours,18,5,0.59
ours,20,5,0.63
ours,20,5,0.66
ours,30,5,0.88
ours,40,5,1.23
ours,50,5,1.5
ours,60,5,1.74
ours,70,5,2.13
ours,80,5,2.33
ours,90,5,2.52
ours,100,5,2.8
potassco,2,5,0.11
potassco,4,5,0.09
potassco,6,5,0.09
potassco,8,5,0.1
potassco,10,5,0.11
potassco,12,5,0.11
potassco,14,5,0.11
potassco,16,5,0.11
potassco,18,5,0.14
potassco,20,5,0.13
potassco,20,5,0.12
potassco,30,5,0.16
potassco,40,5,0.18
potassco,50,5,0.2
potassco,60,5,0.23
potassco,70,5,0.27
potassco,80,5,0.28
potassco,90,5,0.32
potassco,100,5,0.35
hakank,2,5,0.1
hakank,4,5,0.12
hakank,6,5,0.13
hakank,8,5,0.11
hakank,10,5,0.12
hakank,12,5,0.11
hakank,14,5,0.12
hakank,16,5,0.13
hakank,18,5,0.14
hakank,20,5,0.15
hakank,20,5,0.14
hakank,30,5,0.18
hakank,40,5,0.24
hakank,50,5,0.3
hakank,60,5,0.32
hakank,70,5,0.35
hakank,80,5,0.43
hakank,90,5,0.41
hakank,100,5,0.46
tson,2,5,0.15
tson,4,5,0.16
tson,6,5,0.14
tson,8,5,0.15
tson,10,5,0.17
tson,12,5,0.13
tson,14,5,0.14
tson,16,5,0.17
tson,18,5,0.17
tson,20,5,0.18
tson,20,5,0.17
tson,30,5,0.2
tson,40,5,0.23
tson,50,5,0.27
tson,60,5,0.27
tson,70,5,0.35
tson,80,5,0.37
tson,90,5,0.39
tson,100,5,0.42
ours,2,5,0.08
ours,4,5,0.1
ours,6,5,0.11
ours,8,5,0.12
ours,10,5,0.12
ours,12,5,0.14
ours,14,5,0.14
ours,16,5,0.17
ours,18,5,0.17
ours,20,5,0.18
ours,20,5,0.2
ours,30,5,0.24
ours,40,5,0.3
ours,50,5,0.38
ours,60,5,0.44
ours,70,5,0.45
ours,80,5,0.51
ours,90,5,0.58
ours,100,5,0.64
potassco,2,5,0.27
potassco,4,5,0.32
potassco,6,5,0.35
potassco,8,5,0.4
potassco,10,5,0.38
potassco,12,5,0.44
potassco,14,5,0.46
potassco,16,5,0.54
potassco,18,5,0.52
potassco,20,5,0.57
potassco,20,5,0.61
potassco,30,5,0.8
potassco,40,5,0.93
potassco,50,5,1.13
potassco,60,5,1.24
potassco,70,5,1.42
potassco,80,5,2.05
potassco,90,5,1.89
potassco,100,5,2.12
hakank,2,5,0.21
hakank,4,5,0.16
hakank,6,5,0.19
hakank,8,5,0.23
hakank,10,5,0.26
hakank,12,5,0.3
hakank,14,5,0.32
hakank,16,5,0.36
hakank,18,5,0.39
hakank,20,5,0.38
hakank,20,5,0.37
hakank,30,5,0.52
hakank,40,5,0.68
hakank,50,5,0.81
hakank,60,5,1.26
hakank,70,5,1.06
hakank,80,5,1.17
hakank,90,5,1.38
hakank,100,5,1.52
tson,2,5,0.59
tson,4,5,0.58
tson,6,5,0.62
tson,8,5,0.68
tson,10,5,0.63
tson,12,5,0.77
tson,14,5,0.81
tson,16,5,1.08
tson,18,5,0.87
tson,20,5,0.98
tson,20,5,0.91
tson,30,5,1.22
tson,40,5,1.54
tson,50,5,1.65
tson,60,5,1.8
tson,70,5,2.32
tson,80,5,2.31
tson,90,5,2.69
tson,100,5,3.02
ours,2,5,0.16
ours,4,5,0.16
ours,6,5,0.17
ours,8,5,0.18
ours,10,5,0.19
ours,12,5,0.22
ours,14,5,0.24
ours,16,5,0.24
ours,18,5,0.26
ours,20,5,0.29
ours,20,5,0.28
ours,30,5,0.34
ours,40,5,0.4
ours,50,5,0.51
ours,60,5,0.58
ours,70,5,0.68
ours,80,5,0.73
ours,90,5,0.87
ours,100,5,0.91
potassco,2,5,0.21
potassco,4,5,0.22
potassco,6,5,0.2
potassco,8,5,0.14
potassco,10,5,0.15
potassco,12,5,0.14
potassco,14,5,0.15
potassco,16,5,0.18
potassco,18,5,0.18
potassco,20,5,0.17
potassco,20,5,0.17
potassco,30,5,0.21
potassco,40,5,0.24
potassco,50,5,0.29
potassco,60,5,0.35
potassco,70,5,0.35
potassco,80,5,0.38
potassco,90,5,0.44
potassco,100,5,0.53
hakank,2,5,0.11
hakank,4,5,0.1
hakank,6,5,0.09
hakank,8,5,0.09
hakank,10,5,0.09
hakank,12,5,0.09
hakank,14,5,0.09
hakank,16,5,0.12
hakank,18,5,0.11
hakank,20,5,0.11
hakank,20,5,0.1
hakank,30,5,0.13
hakank,40,5,0.14
hakank,50,5,0.17
hakank,60,5,0.18
hakank,70,5,0.2
hakank,80,5,0.22
hakank,90,5,0.22
hakank,100,5,0.24
tson,2,5,0.24
tson,4,5,0.28
tson,6,5,0.22
tson,8,5,0.23
tson,10,5,0.27
tson,12,5,0.25
tson,14,5,0.29
tson,16,5,0.53
tson,18,5,0.32
tson,20,5,0.32
tson,20,5,0.41
tson,30,5,0.5
tson,40,5,0.55
tson,50,5,0.66
tson,60,5,0.74
tson,70,5,0.88
tson,80,5,0.99
tson,90,5,1.04
tson,100,5,1.47
ours,2,5,0.09
ours,4,5,0.12
ours,6,5,0.14
ours,8,5,0.18
ours,10,5,0.19
ours,12,5,0.23
ours,14,5,0.24
ours,16,5,0.3
ours,18,5,0.34
ours,20,5,0.33
ours,20,5,0.37
ours,30,5,0.5
ours,40,5,0.54
ours,50,5,0.76
ours,60,5,0.86
ours,70,5,1.04
ours,80,5,1.03
ours,90,5,1.21
ours,100,5,1.36
potassco,2,5,0.47
potassco,4,5,0.55
potassco,6,5,0.55
potassco,8,5,0.6
potassco,10,5,0.59
potassco,12,5,0.63
potassco,14,5,0.67
potassco,16,5,0.7
potassco,18,5,0.92
potassco,20,5,0.79
potassco,20,5,0.81
potassco,30,5,1.01
potassco,40,5,1.45
potassco,50,5,1.76
potassco,60,5,1.74
potassco,70,5,2.0
potassco,80,5,2.69
potassco,90,5,2.74
potassco,100,5,3.06
hakank,2,5,0.1
hakank,4,5,0.11
hakank,6,5,0.11
hakank,8,5,0.12
hakank,10,5,0.13
hakank,12,5,0.12
hakank,14,5,0.11
hakank,16,5,0.13
hakank,18,5,0.14
hakank,20,5,0.15
hakank,20,5,0.14
hakank,30,5,0.17
hakank,40,5,0.21
hakank,50,5,0.25
hakank,60,5,0.28
hakank,70,5,0.31
hakank,80,5,0.37
hakank,90,5,0.42
hakank,100,5,0.48
tson,2,5,0.4
tson,4,5,0.22
tson,6,5,0.24
tson,8,5,0.28
tson,10,5,0.28
tson,12,5,0.28
tson,14,5,0.33
tson,16,5,0.33
tson,18,5,0.59
tson,20,5,0.43
tson,20,5,0.39
tson,30,5,0.51
tson,40,5,0.58
tson,50,5,0.68
tson,60,5,0.8
tson,70,5,0.93
tson,80,5,1.09
tson,90,5,1.44
tson,100,5,1.27
ours,2,5,0.11
ours,4,5,0.11
ours,6,5,0.13
ours,8,5,0.15
ours,10,5,0.18
ours,12,5,0.21
ours,14,5,0.23
ours,16,5,0.25
ours,18,5,0.27
ours,20,5,0.3
ours,20,5,0.29
ours,30,5,0.4
ours,40,5,0.55
ours,50,5,0.61
ours,60,5,0.7
ours,70,5,0.83
ours,80,5,1.01
ours,90,5,1.14
ours,100,5,1.14
potassco,2,5,0.13
potassco,4,5,0.15
potassco,6,5,0.16
potassco,8,5,0.18
potassco,10,5,0.19
potassco,12,5,0.24
potassco,14,5,0.24
potassco,16,5,0.28
potassco,18,5,0.29
potassco,20,5,0.3
potassco,20,5,0.31
potassco,30,5,0.42
potassco,40,5,0.52
potassco,50,5,0.61
potassco,60,5,0.68
potassco,70,5,0.78
potassco,80,5,0.88
potassco,90,5,1.01
potassco,100,5,1.13
hakank,2,5,0.42
hakank,4,5,0.15
hakank,6,5,0.14
hakank,8,5,0.11
hakank,10,5,0.11
hakank,12,5,0.12
hakank,14,5,0.33
hakank,16,5,0.13
hakank,18,5,0.14
hakank,20,5,0.14
hakank,20,5,0.14
hakank,30,5,0.17
hakank,40,5,0.18
hakank,50,5,0.19
hakank,60,5,0.21
hakank,70,5,0.26
hakank,80,5,0.27
hakank,90,5,0.29
hakank,100,5,0.33
tson,2,5,0.4
tson,4,5,0.54
tson,6,5,0.7
tson,8,5,0.82
tson,10,5,1.06
tson,12,5,1.14
tson,14,5,1.41
tson,16,5,2.0
tson,18,5,2.08
tson,20,5,2.42
tson,20,5,2.39
