model,examples,precision
hakank,2,0.06477472669004743
tson,6,1.0
tson,5,1.0
tson,4,1.0
tson,3,0.6701862036326843
tson,2,0.23944166497644964
ours,6,1.0
ours,5,1.0
ours,4,1.0
ours,3,0.7608849976336962
ours,2,0.17624111058526581
potassco,6,1.0
potassco,5,1.0
potassco,4,1.0
potassco,3,0.20294999211232057
potassco,2,0.20294999211232057
hakank,6,1.0
hakank,5,1.0
hakank,4,0.2826549929010885
hakank,3,0.10607499605616028
hakank,2,0.08851395144463593
tson,6,0.508730237857855
tson,5,0.508730237857855
tson,4,0.508730237857855
tson,3,0.4212057328017572
tson,2,0.13672734952472623
ours,6,1.0
ours,5,1.0
ours,4,0.5046
ours,3,0.3850424988168481
ours,2,0.3850424988168481
potassco,6,1.0
potassco,5,1.0
potassco,4,1.0
potassco,3,0.12646189687422532
potassco,2,0.05019507621000759
hakank,6,0.39026461602195645
hakank,5,0.39026461602195645
hakank,4,0.17966780163360344
hakank,3,0.0887790218965776
hakank,2,0.053239210271774876
tson,6,1.0
tson,5,1.0
tson,4,1.0
tson,3,0.2861134228768101
tson,2,0.17373205900341784
