task,#examples,#sketched,#solutions,#before_dominance
ours,12,5,4,36
ours,14,5,4,36
ours,16,5,4,36
ours,18,5,4,36
ours,20,5,4,36
ours,20,5,4,36
ours,30,5,4,36
ours,40,5,4,36
ours,50,5,4,36
ours,60,5,4,36
ours,70,5,4,36
ours,80,5,4,36
ours,90,5,4,36
ours,100,5,4,36
potassco,2,5,49,441
potassco,4,5,12,90
potassco,6,5,12,90
potassco,8,5,12,90
potassco,10,5,12,90
potassco,12,5,12,90
potassco,14,5,12,90
potassco,16,5,12,90
potassco,18,5,12,90
potassco,20,5,12,90
potassco,20,5,12,90
potassco,30,5,12,90
potassco,40,5,12,90
potassco,50,5,12,90
potassco,60,5,12,90
potassco,70,5,12,90
potassco,80,5,12,90
potassco,90,5,12,90
potassco,100,5,12,90
hakank,2,5,22,378
hakank,4,5,21,357
hakank,6,5,19,195
hakank,8,5,19,195
hakank,10,5,17,177
hakank,12,5,17,177
hakank,14,5,17,177
hakank,16,5,17,177
hakank,18,5,17,177
hakank,20,5,17,165
hakank,20,5,17,165
hakank,30,5,17,165
hakank,40,5,17,165
hakank,50,5,17,165
hakank,60,5,17,165
hakank,70,5,17,165
hakank,80,5,17,165
hakank,90,5,17,165
hakank,100,5,17,165
tson,2,5,21,1071
tson,4,5,21,1071
tson,6,5,21,969
tson,8,5,21,969
tson,10,5,21,969
tson,12,5,21,969
tson,14,5,21,969
tson,16,5,21,969
tson,18,5,21,969
tson,20,5,21,969
tson,20,5,21,969
tson,30,5,21,969
tson,40,5,21,969
tson,50,5,21,969
tson,60,5,21,969
tson,70,5,21,969
tson,80,5,21,969
tson,90,5,21,969
tson,100,5,21,969
ours,2,5,14,162
ours,4,5,14,126
ours,6,5,14,126
ours,8,5,14,126
ours,10,5,14,126
ours,12,5,14,126
ours,14,5,14,126
ours,16,5,14,126
ours,18,5,14,126
ours,20,5,14,126
ours,20,5,14,126
ours,30,5,14,126
ours,40,5,14,126
ours,50,5,14,126
ours,60,5,14,126
ours,70,5,14,126
ours,80,5,14,126
ours,90,5,14,126
ours,100,5,14,126
potassco,2,5,33,767
potassco,4,5,33,689
potassco,6,5,33,689
potassco,8,5,33,689
potassco,10,5,33,689
potassco,12,5,33,689
potassco,14,5,33,689
potassco,16,5,33,689
potassco,18,5,33,689
potassco,20,5,33,689
potassco,20,5,33,689
potassco,30,5,33,689
potassco,40,5,33,689
potassco,50,5,33,689
potassco,60,5,33,689
potassco,70,5,33,689
potassco,80,5,33,689
potassco,90,5,33,689
potassco,100,5,33,689
hakank,2,5,36,108
hakank,4,5,14,36
hakank,6,5,14,18
hakank,8,5,14,18
hakank,10,5,14,18
hakank,12,5,14,18
hakank,14,5,14,18
hakank,16,5,12,16
hakank,18,5,12,16
hakank,20,5,12,16
hakank,20,5,12,16
hakank,30,5,12,16
hakank,40,5,12,16
hakank,50,5,12,16
hakank,60,5,12,16
hakank,70,5,12,16
hakank,80,5,12,16
hakank,90,5,12,16
hakank,100,5,12,16
tson,2,5,111,1053
tson,4,5,90,747
tson,6,5,58,462
tson,8,5,58,426
